Others	Reprogrammed	Failed
1420	5	0	0
433	21	0	0
1321	2	2	0
514	11	0	0
173	2	0	0
402	9	1	0
381	11	0	0
1053	3	0	0
644	6	0	0
843	4	0	0
796	3	0	0
0	3	0	0
382	6	0	0
425	10	0	0
537	1	2	0
1386	3	0	0
1201	3	1	0
908	8	0	0
886	2	0	0
294	10	1	0
852	2	0	0
155	49	1	0
541	3	0	0
611	1402	506	0
1101	1	0	0
100	2	0	0
470	3	0	0
388	25	0	0
742	2	0	0
426	2	1	0
1186	13	0	0
756	4	0	0
759	6	0	0
1042	4	0	0
705	15	0	0
582	1	0	0
158	27	0	0
833	6	0	0
1181	3	0	0
1406	19	0	0
820	68	0	0
1191	1	0	0
141	466	119	1
1265	36	1	0
1289	7	0	0
745	118	2	0
26	2	0	0
1248	30	1	0
189	24	1	0
280	113	3	0
803	19	1	0
545	281	2	0
950	4	0	0
1016	230	9	0
948	175	0	0
1438	4	0	0
1108	20	0	0
671	21	0	0
529	32	9	0
1397	5	0	0
1146	183	46	0
998	28	10	0
842	57	14	0
650	207	99	3
51	106	10	1
103	10	0	0
815	95	1	0
101	24	0	0
958	8	0	1
367	532	110	190
614	58	2	0
380	84	16	0
147	9	0	0
578	41	8	0
146	47	1	0
327	84	18	0
444	2	0	0
1106	47	1	1
906	2	3	0
595	5	0	0
414	31	0	0
1198	2	4	0
738	52	6	0
450	5	0	0
647	3	0	0
36	4	0	0
973	1	0	0
1132	2	0	0
331	3	0	0
441	37	0	0
341	45	0	0
850	3	1	0
228	2	0	0
255	2	0	0
605	4	2	0
480	3	0	0
296	3	0	0
844	48	0	0
1069	5	0	0
313	53	38	0
1344	4	0	0
109	1	0	0
636	19	0	0
1229	6	0	0
591	2	0	0
861	12	12	0
328	5	0	0
702	3	0	0
960	5	1	0
1247	1	0	0
760	2	3	0
462	8	0	0
1286	0	0	1
303	2	0	0
683	33	0	0
881	1	0	0
1165	1	0	0
900	5	0	0
1030	2	0	0
776	6	0	0
559	7	0	1
65	4	1	0
1336	29	2	0
1142	2	0	0
121	1	0	0
583	7	0	0
574	2	3	0
354	21	0	0
1307	1	1	0
549	1	0	0
1343	8	1	0
318	3	0	0
164	3	0	0
706	4	0	0
846	1	0	0
1383	4	0	0
1071	4	1	0
674	3	0	0
556	2	0	0
178	4	0	0
1090	6	0	0
1169	1	0	0
1179	1	0	0
1215	1	0	0
547	2	1	0
531	1	0	0
1340	1	0	0
978	3	0	0
533	2	0	0
922	1	0	0
1214	7	0	0
119	6	0	1
612	27	0	0
997	6	0	0
679	2	0	0
1049	1	0	0
239	7	0	0
600	707	11	62
752	15	0	0
446	131	19	7
809	4	0	0
1137	21	0	0
144	14	0	2
475	18	8	7
1014	1415	885	82
1141	7	0	0
887	1	0	0
85	110	20	2
220	61	1	12
687	206	6	73
1220	76	30	11
1082	15	2	3
151	128	5	11
340	33	28	1
234	202	5	19
486	10	0	2
174	100	12	2
860	10	0	2
171	12	0	5
1425	2	0	0
1326	1	0	2
30	11	0	1
765	8	3	0
565	1	0	1
716	54	7	1
1188	155	129	5
572	15	9	4
96	137	65	0
994	1	1	2
68	35	0	10
1349	9	1	0
215	1	0	0
1127	29	6	1
297	30	0	4
515	120	63	1
783	21	9	0
1278	2	3	0
761	29	14	2
434	8	5	0
1382	21	0	0
1266	2	2	0
93	4	0	3
324	53	0	9
334	0	0	2
1431	1	2	0
77	31	10	1
810	28	0	2
82	8	0	0
512	8	0	4
1061	3	0	1
1447	2	1	0
534	5	2	0
494	17	5	0
1159	14	7	0
757	17	0	0
471	5	0	0
967	33	6	0
826	42	6	2
857	32	2	2
1154	5	2	0
439	1	0	0
1369	1	4	0
954	5	0	2
872	7	2	0
379	1	4	1
443	41	0	7
1189	1	0	0
909	2	0	0
31	1	0	0
912	3	0	0
548	7	2	0
689	6	2	0
1414	6	0	2
91	1	0	1
828	3	10	4
550	24	2	0
665	3	0	0
349	1	0	0
1262	11	5	1
530	5	0	2
1203	12	4	0
676	5	0	1
4	1	0	0
571	3	1	1
1	3	0	0
1411	0	0	1
1231	6	0	0
957	3	0	0
751	0	0	1
56	2	7	1
1130	4	0	0
1303	12	0	1
905	2	0	1
400	1	0	0
229	2	0	0
735	2	1	0
102	4	0	0
754	1	0	2
1190	8	1	0
568	21	0	0
499	5	0	0
1284	4	0	1
831	2	0	1
845	7	0	1
1010	0	0	1
615	21	0	0
539	2	0	0
209	2	0	0
1002	11	11	0
931	1	0	0
1356	1	0	0
11	2	0	1
1145	20	0	0
1373	9	0	1
1155	12	1	0
1175	16	0	0
1422	0	0	1
138	2	10	1
420	0	0	1
690	1	0	0
638	2	0	0
455	2	0	0
1060	3	0	0
1166	4	0	0
895	2	0	0
1112	2	0	0
1182	4	0	0
251	4	0	0
659	2	0	0
9	1	0	0
963	5	0	0
1313	7	0	0
1093	5	0	0
1217	7	0	0
1216	4	0	0
87	7	1	0
567	7	0	0
633	5	0	0
976	27	0	0
419	1	0	0
627	4	0	0
78	1	0	0
601	1	0	0
501	26	1	0
208	14	0	0
590	3	0	0
393	19	0	0
1143	1	0	0
1073	29	0	0
858	9	1	0
1416	3	0	0
946	4	0	0
714	5	0	0
1171	17	0	0
789	2	0	0
244	2	0	0
149	25	1	0
652	3	0	0
300	2	0	0
152	27	9	0
325	3	0	0
890	3	0	0
206	4	0	0
410	2	0	0
1107	6	1	0
160	5	0	0
371	5	0	0
732	3	0	0
606	2	0	0
898	3	0	0
538	8	0	0
35	2	1	0
358	4	0	0
592	1	0	0
284	1	0	0
1410	1	0	0
830	3	2	0
1283	4	0	0
92	1	0	0
32	5	0	0
222	1	0	0
1443	9	0	0
1338	12	0	0
6	7	0	0
1237	1	1	0
276	3	0	0
576	13	1	0
639	15	0	0
219	15	0	0
1173	10	0	0
323	1	0	0
1017	2	0	0
518	7	0	0
546	1	0	0
1421	10	0	0
747	1	0	0
507	6	1	0
1233	1	0	0
1055	19	0	0
1113	22	0	0
974	2	0	0
939	1	0	0
1074	5	0	0
440	1	0	0
1097	6	0	0
528	3	0	0
120	8	0	0
49	45	1	0
58	1	0	0
148	6	1	0
990	2	0	0
378	4	0	0
29	14	6	0
1038	2	0	0
1111	8	0	0
1272	4	0	0
481	5	0	0
523	3	0	0
1291	3	0	0
818	2	0	0
797	2	0	0
1183	1	0	0
1085	2	0	0
1152	1	0	0
1402	5	0	0
734	6	0	0
106	3	0	0
230	3	0	0
1389	9	0	0
134	8	0	0
1403	8	0	0
132	2	0	0
893	4	1	0
1015	30	0	0
607	4	0	0
513	6	0	0
301	4	0	0
758	22	0	0
76	7	0	0
859	5	0	0
764	8	0	0
837	20	0	0
673	17	0	0
1123	6	0	0
1339	3	0	0
227	2	0	0
1121	2	0	0
38	2	0	0
604	4	0	0
285	2	0	0
597	7	0	0
1096	1	0	0
197	1	0	0
535	3	0	0
603	5	0	0
1281	34	1	0
162	2	0	0
1350	6	0	0
1153	2	0	0
24	5	0	0
599	9	0	0
802	3	0	0
1300	50	0	0
795	16	1	0
1202	9	0	0
785	3	0	0
1276	19	1	0
1444	9	0	0
266	4	0	0
741	26	0	0
618	6	0	0
651	5	0	0
584	1	0	0
278	1	0	0
22	3	0	0
39	1	0	0
424	26	0	0
1077	37	6	0
503	6	0	0
915	3	1	0
1346	5	0	0
1114	1	0	0
1337	1	0	0
337	14	1	0
240	1	0	0
934	5	0	0
941	8	4	0
1304	2	0	0
1240	10	0	0
722	5	0	0
848	3	0	0
315	7	1	0
667	14	0	0
951	6	0	0
1259	1	0	0
211	29	12	0
1361	23	1	0
1149	10	1	0
454	10	0	0
1019	2	0	0
1347	31	0	0
344	10	0	0
108	9	1	0
1200	7	2	0
623	8	0	0
273	1	0	0
254	3	0	0
1079	9	0	0
422	7	0	0
553	1	0	0
427	3	0	0
894	7	0	0
1134	1	0	0
110	13	0	0
198	2	0	0
498	4	0	0
1432	2	0	0
748	12	1	0
20	1	0	0
1249	51	8	0
1367	2	0	0
970	1	0	0
478	1	0	0
1436	1	0	0
41	1	0	0
150	69	0	0
1302	2	0	0
932	12	0	0
525	2	0	0
1223	3	0	0
730	2	4	0
1033	4	0	0
1368	6	0	0
1357	2	0	0
787	4	5	0
166	1	0	0
1426	11	2	0
287	2	1	0
875	1	0	0
917	3	0	0
654	1	0	0
1124	8	0	0
271	2	0	0
522	4	1	0
1065	9	4	0
1087	3	1	0
52	5	2	0
183	5	0	0
851	2	0	0
218	26	0	0
511	5	0	0
981	2	0	0
653	15	0	0
269	16	0	0
637	4	0	0
407	5	0	0
769	2	0	0
1232	3	0	0
1267	16	0	0
899	20	0	0
516	6	1	0
1001	5	0	0
669	4	0	0
700	1	0	0
34	4	0	0
373	19	0	0
111	7	0	0
896	35	1	0
1110	5	3	0
66	4	1	0
1279	5	0	0
696	6	1	0
816	1	0	0
1148	45	7	0
1150	4	0	0
656	5	0	0
561	1	4	0
598	15	8	0
1076	21	2	0
1299	1	0	0
126	1	0	0
124	20	3	0
231	21	4	0
401	3	0	0
18	19	0	0
1360	8	0	0
237	2	0	0
1020	2	0	0
577	3	0	0
205	0	1	0
310	0	1	0
53	8	0	0
395	1	0	0
396	2	1	0
804	11	0	0
338	5	0	0
930	2	1	0
390	1	0	0
827	1	0	0
564	14	2	0
1139	11	0	0
258	7	1	0
1105	2	1	0
1222	19	1	0
961	11	0	0
309	4	0	0
921	11	0	0
295	2	1	0
753	4	1	0
1003	2	1	0
1250	0	1	0
573	1	0	0
677	2	1	0
1052	16	0	0
675	13	1	0
468	4	1	0
483	0	1	0
1098	2	0	0
825	23	2	0
369	4	0	0
1429	20	1	0
214	1	1	0
891	7	0	0
154	0	1	0
397	3	0	0
904	1	1	0
1305	4	0	0
811	0	1	0
1293	0	1	0
48	10	1	0
723	0	2	0
581	0	1	0
1294	2	1	0
487	2	1	0
447	0	1	0
14	9	1	0
694	1	1	0
521	0	1	0
496	0	1	0
1007	4	1	0
69	0	1	0
432	29	1	0
42	1	1	0
1168	24	11	0
1199	1	0	0
1022	1	0	0
359	7	0	0
1140	2	0	0
1288	1	0	0
59	4	1	0
1351	5	1	0
1129	0	1	0
350	1	0	0
883	12	1	0
920	6	1	0
864	5	1	0
1135	1	0	0
693	17	3	0
437	4	1	0
1323	7	0	0
430	1	2	0
184	19	3	0
403	17	14	0
495	2	4	0
613	7	0	0
1371	13	2	0
648	2	1	0
989	3	0	0
1064	3	1	0
657	13	2	0
1047	9	0	0
180	3	0	0
248	1	0	0
1433	0	1	0
586	0	1	0
777	1	2	0
866	0	3	0
1156	1	1	0
1399	13	0	0
128	2	1	0
159	1	0	0
1365	2	0	0
1409	14	0	0
394	1	2	0
1034	1	0	0
242	2	5	0
98	0	1	0
249	8	1	0
1292	29	1	0
855	1	1	0
265	1	1	0
813	2	2	0
680	2	3	0
1036	2	1	0
1211	0	1	0
1412	0	1	0
1115	0	1	0
775	2	1	0
352	1	0	0
57	3	1	0
517	2	1	0
1441	0	1	0
500	0	2	0
449	0	1	0
199	7	1	0
580	5	1	0
1380	0	1	0
94	0	1	0
996	0	1	0
767	4	2	0
1026	1	1	0
824	0	1	0
661	7	0	0
1176	11	0	0
1170	1	0	0
740	10	1	0
177	2	0	0
772	1	0	0
84	5	0	0
342	7	0	0
1078	10	0	0
256	4	0	0
217	2	0	0
527	4	0	0
1396	3	0	0
876	2	0	0
1277	3	0	0
61	1	0	0
708	4	0	0
383	3	0	0
870	2	0	0
727	1	0	0
688	1	0	0
1024	3	0	0
1109	1	1	0
1092	6	0	0
985	1	0	0
261	6	0	0
200	1	0	0
642	14	0	0
933	5	0	0
288	1	0	0
1131	2	0	0
5	4	0	0
21	3	0	0
1316	1	0	0
588	3	0	0
1407	10	0	0
179	2	0	0
871	6	0	0
213	6	0	0
1333	1	0	0
681	10	0	0
3	2	0	0
1354	4	0	0
794	7	0	0
1227	10	0	0
621	8	0	0
955	5	0	0
405	4	0	0
608	2	0	0
901	5	0	0
617	3	0	0
50	3	0	0
774	2	0	0
624	5	0	0
880	2	0	0
257	13	0	0
641	7	1	0
979	4	0	0
645	8	0	0
972	6	0	0
622	3	0	0
695	3	0	0
384	3	0	0
357	1	0	0
969	2	0	0
1032	3	0	0
1006	3	0	0
1193	5	0	0
853	2	0	0
1027	5	0	0
566	3	0	0
46	5	0	0
1345	2	0	0
79	1	0	0
1264	6	0	0
223	22	1	0
423	3	0	0
1044	2	0	0
1366	11	0	0
544	10	0	0
330	4	0	0
1378	2	0	0
1393	4	0	0
1062	4	0	0
1167	2	0	0
882	3	0	0
275	1	0	0
1446	5	0	0
616	7	0	0
467	6	0	0
317	2	0	0
339	1	1	0
259	3	1	0
187	7	0	0
353	2	0	0
788	5	0	0
226	3	0	0
520	6	0	0
1084	2	0	0
362	2	0	0
703	2	0	0
88	7	0	0
1072	2	0	0
698	4	0	0
137	2	0	0
1348	5	0	0
203	6	0	0
246	4	0	0
1437	7	0	0
662	2	0	0
1236	5	0	0
75	4	0	0
356	3	0	0
952	4	0	0
1011	3	0	0
1390	9	0	0
589	1	0	0
1295	2	0	0
1381	2	0	0
1314	1	0	0
489	2	0	0
1384	1	0	0
306	2	0	0
428	2	0	0
1120	1	0	0
707	2	1	0
97	3	0	0
247	2	0	0
712	2	0	0
54	1	0	0
1210	1	0	0
1342	7	0	0
524	9	0	0
947	3	0	0
1045	2	0	0
168	3	0	0
40	1	0	0
1023	4	0	0
1212	9	0	0
682	2	0	0
628	1	0	0
335	1	0	0
27	2	0	0
812	5	0	0
63	1	0	0
1364	7	0	0
798	1	0	0
67	1	0	0
1009	4	0	0
801	5	0	0
1246	2	0	0
417	1	0	0
873	2	0	0
1319	3	0	0
305	4	0	0
1117	3	0	0
485	4	0	0
1008	2	0	0
526	1	0	0
1184	3	0	0
1194	2	0	0
438	3	0	0
709	3	0	0
167	9	0	0
72	7	0	0
629	3	0	0
55	3	0	0
817	7	0	0
808	5	0	0
114	1	0	0
562	10	0	0
749	4	0	0
1012	5	0	0
928	4	0	0
387	8	0	0
916	5	0	0
225	2	0	0
320	5	0	0
1116	3	0	0
1039	3	0	0
1312	1	0	0
609	1	0	0
143	3	0	0
579	4	0	0
377	1	0	0
668	2	1	0
746	15	0	0
823	9	0	0
1430	2	0	0
877	1	0	0
404	6	0	0
281	2	0	0
536	3	0	0
386	1	0	0
452	4	0	0
1239	6	0	0
1067	3	0	0
1161	3	0	0
1400	3	0	0
497	4	0	0
1226	5	0	0
1174	1	0	0
413	1	0	0
903	2	0	0
867	5	0	0
1104	3	0	0
739	2	0	0
319	1	0	0
1122	1	0	0
282	2	0	0
1094	4	0	0
375	5	0	0
918	1	0	0
771	2	0	0
977	1	0	0
1195	4	0	0
1046	3	0	0
914	2	0	0
902	3	0	0
1254	2	0	0
1185	2	0	0
1428	2	0	0
814	1	0	0
1388	1	0	0
1450	3	0	0
854	1	0	0
71	3	0	0
956	3	0	0
1270	3	0	0
790	2	0	0
719	1	0	0
1160	4	0	0
316	4	0	0
1374	10	0	0
176	2	0	0
717	2	0	0
508	2	0	0
263	6	0	0
1100	5	0	0
1208	3	0	0
587	1	0	0
1385	5	0	0
299	1	0	0
1301	3	0	0
207	3	0	0
927	3	0	0
1118	10	0	0
1324	1	0	0
672	2	0	0
1315	1	0	0
543	3	1	0
945	1	0	0
793	1	0	0
270	1	0	0
25	3	0	0
911	3	0	0
43	2	0	0
1133	1	0	0
1405	1	0	0
792	2	0	0
829	2	0	0
411	2	0	0
995	1	0	0
1435	1	0	0
1404	1	0	0
153	1	0	0
1363	1	0	0
504	1	0	0
684	2	0	0
442	2	0	0
262	5	0	0
720	1	0	0
33	4	0	0
791	3	0	0
274	3	0	0
630	1	0	0
1068	3	0	0
1138	1	0	0
1317	2	0	0
123	1	0	0
966	1	0	0
1095	1	0	0
364	2	0	0
1258	2	0	0
847	4	0	0
1037	2	0	0
725	1	0	0
1013	2	0	0
181	1	0	0
755	1	0	0
1370	2	0	0
762	1	0	0
104	2	0	0
477	2	0	0
763	3	0	0
1031	1	0	0
224	2	0	0
691	1	0	0
105	3	0	0
1261	1	0	0
116	1	0	0
942	1	0	0
492	2	0	0
