PNEC	iAEC2	NLE	Gut
140	1	3	0	0
41	2	0	0	0
197	13	5	0	1
74	0	20	0	1
38	2	2	0	0
119	2	10	0	1
133	2	0	0	0
218	4	1	0	1
107	90	2	29	91
50	4	0	19	0
12	4	3	60	10
4	3	53	9	4
148	41	0	13	3
138	1	1	0	0
91	0	2	0	0
15	0	0	2	0
227	3	0	6	0
7	0	5	0	0
123	1	0	2	0
253	0	5	0	0
164	1	3	0	2
58	0	12	0	0
236	6	3	0	0
28	44	3	1	26
115	1	3	1	0
180	9	59	7	3
181	1	2	0	0
64	2	5	0	0
193	8	1	0	1
117	6	1	0	0
78	1	0	1	8
30	35	0	0	5
32	8	2	19	2
219	0	4	0	0
87	13	0	2	6
89	0	5	0	0
241	7	0	0	30
168	6	0	0	0
53	0	3	0	0
187	0	7	0	0
261	4	3	0	0
29	6	2	0	0
23	1	1	0	0
84	0	0	5	0
169	9	21	3	0
154	6	2	1	0
97	4	4	0	0
72	1	1	0	0
198	20	1	19	21
77	2	3	0	0
150	1	30	0	1
267	32	1	0	1
59	0	2	0	1
199	2	1	0	0
229	4	3	0	0
174	5	2	0	0
149	1	24	2	0
254	0	2	0	1
62	3	1	0	0
48	2	0	5	1
20	2	0	0	0
124	8	3	0	0
237	2	2	1	0
5	2	5	0	0
213	1	0	0	1
266	4	1	0	0
178	6	2	4	2
126	1	3	0	2
111	2	5	1	1
67	7	4	0	0
271	3	0	0	0
51	56	0	4	5
200	10	2	2	0
121	1	0	0	14
110	4	3	0	0
47	2	13	0	0
103	2	0	0	13
81	2	6	0	0
210	0	6	0	0
129	0	19	0	7
105	5	1	0	1
25	0	0	3	0
248	1	0	0	1
128	6	2	3	0
232	0	2	0	0
45	0	4	0	1
263	3	2	0	1
0	5	0	1	7
165	2	9	0	1
147	4	1	0	1
13	0	13	0	0
94	2	0	2	1
6	2	1	0	0
179	7	0	0	0
60	2	0	7	0
191	0	4	0	0
65	0	3	0	0
208	5	6	0	2
249	1	0	1	0
16	1	6	1	1
101	0	8	0	0
153	1	0	0	25
157	0	2	5	0
161	0	9	0	0
9	1	17	0	0
172	2	0	0	0
40	3	0	0	0
132	9	0	0	0
262	7	22	0	0
209	1	0	5	1
146	0	6	0	0
83	1	5	0	0
194	6	12	1	0
182	1	8	0	1
269	2	0	0	0
252	4	8	0	0
55	1	0	1	0
215	4	0	0	0
93	1	5	0	0
189	1	8	0	0
257	3	2	0	0
171	3	0	1	0
71	0	0	0	12
212	22	0	0	1
92	6	0	0	1
163	1	2	0	0
207	0	1	1	1
39	0	0	0	2
264	2	0	0	0
70	0	5	0	0
112	2	2	1	0
245	0	4	0	0
155	3	0	0	0
139	0	3	0	3
258	1	0	0	1
265	1	0	5	0
66	2	0	0	0
14	1	0	0	2
34	0	4	0	0
88	3	1	0	0
135	0	7	0	0
118	1	0	0	3
52	0	4	0	0
96	7	0	0	5
243	1	1	1	0
90	0	2	0	1
102	0	3	0	0
125	0	3	0	0
134	1	0	0	2
2	3	0	0	4
251	8	2	2	0
54	4	1	0	0
120	1	3	0	0
173	2	1	0	0
152	0	0	3	1
108	1	5	1	0
36	0	2	0	0
217	1	1	0	0
183	0	4	0	0
27	0	3	0	1
206	3	0	0	0
75	0	2	0	0
228	4	3	0	0
61	3	0	4	0
166	0	3	0	0
130	0	3	1	1
151	0	2	0	0
233	2	0	1	0
86	4	0	1	2
239	0	9	0	0
222	1	0	0	1
24	2	0	0	1
247	8	0	0	9
26	1	0	1	0
244	0	3	0	0
116	2	0	1	0
224	0	4	0	0
160	5	7	0	0
255	0	3	0	0
69	2	3	2	0
145	2	4	0	0
177	2	2	2	2
156	1	1	0	0
214	0	4	1	0
131	0	0	3	2
185	1	2	0	0
56	1	1	1	0
223	1	1	3	2
18	2	0	0	0
22	2	2	0	0
109	3	1	0	0
231	0	2	0	0
85	1	6	0	0
122	2	0	0	0
8	2	1	0	0
79	2	0	0	0
98	2	1	0	0
196	2	0	0	0
235	5	0	0	0
203	1	0	0	1
242	2	1	0	0
234	0	0	0	5
256	2	0	2	0
136	0	1	0	1
186	2	3	0	1
204	1	2	0	0
46	0	0	1	2
259	3	4	0	2
246	0	2	0	0
43	0	0	1	1
175	3	0	0	0
33	0	2	1	0
202	4	2	0	0
238	1	3	0	0
68	0	2	0	0
44	0	1	0	1
159	3	0	0	0
114	0	1	0	1
211	3	0	0	0
195	0	2	0	0
158	1	1	0	0
205	4	0	0	1
137	1	1	0	0
17	1	3	0	0
270	1	1	0	0
176	1	2	0	0
141	0	0	3	0
127	2	1	1	0
104	1	5	0	0
201	0	2	0	0
142	0	1	1	0
143	0	0	0	4
250	0	2	0	0
42	3	1	0	0
192	1	0	0	2
80	0	2	0	0
225	1	3	0	0
184	0	1	1	0
31	2	1	0	0
82	4	0	0	0
3	2	0	0	0
220	2	0	0	0
162	0	0	1	1
268	2	0	0	1
19	1	1	0	0
188	0	0	0	2
144	2	0	0	0
10	2	0	0	0
106	1	1	0	0
226	0	2	0	0
167	6	0	0	0
113	0	2	0	0
37	0	3	0	0
221	2	1	0	0
76	2	0	0	0
99	0	4	0	0
190	0	2	0	0
49	0	2	0	0
240	0	0	2	0
35	5	0	0	0
230	2	0	0	0
95	1	0	0	1
100	0	2	0	0
21	0	2	0	0
1	0	0	2	0
170	0	0	2	0
216	0	2	0	0
57	0	2	0	0
11	1	0	1	0
73	1	1	0	0
63	0	2	0	0
260	2	0	0	0
