CLP	CMP	HSC	MPP
A	12	13	29	11
1	193	302	435	450
1234569	1	1	3	4
9	146	184	305	320
12345HG	0	0	1	0
189	7	7	6	11
C	92	169	168	214
123	31	49	69	75
1HCB9	0	2	4	8
1HED9	0	1	15	2
3	65	121	146	155
34A	2	4	2	2
129	5	28	45	12
12789	5	5	3	2
1F7	0	0	5	1
12I	4	10	7	10
7	18	47	39	51
567	2	8	16	3
G	3	13	23	10
723F9	0	2	1	1
1D9	0	6	3	7
389	10	3	11	11
CBA	1	3	7	4
C69	1	2	4	4
GH3	0	0	1	1
5	6	12	18	32
A69	0	3	1	1
125HI	2	5	4	3
589	4	21	18	16
IHG	0	2	16	9
569	1	6	1	3
127	3	2	8	6
345	1	7	8	2
12349	3	7	10	3
1H9	16	22	17	33
E89	2	1	1	4
I	9	26	27	20
349	3	4	12	5
12C	5	25	33	11
12389	4	13	22	12
56789	2	3	1	1
14569	0	1	4	1
12369	0	0	2	1
145	2	6	6	6
123456789	0	1	3	2
149	1	16	7	21
789	2	10	20	9
12345	2	2	6	7
3HG	2	3	4	4
3FE	1	5	5	2
ED9	0	0	4	1
36G	1	4	2	4
ABC	2	1	2	2
1HI	0	0	1	0
GFE89	2	3	3	1
12ED7	0	0	1	1
169	3	9	18	7
1DCB5	1	1	1	1
12347	0	1	2	1
12367	0	0	4	1
12567	0	0	1	0
34789	0	1	3	2
IHA	0	1	7	3
C6E	0	0	5	1
CBA49	0	6	5	1
IHGFE	0	3	2	2
1234IHGFE	0	0	2	1
IBA	0	0	1	2
1DCB789	0	0	1	0
1HG	0	0	1	2
GF1	0	0	2	1
125	0	0	4	4
3FE89	0	0	3	3
1234589	0	0	1	1
369	0	1	2	4
1256G	0	2	3	5
GF145	0	0	1	0
IBGHA	0	0	2	0
ED189	0	0	2	1
C49	0	4	12	2
1234567	0	0	2	1
16G	0	2	15	7
123F9	0	0	5	1
12569	0	0	1	1
163B9	0	0	1	1
CB56IHG	0	1	1	1
123FED7	0	0	1	0
1236789	0	1	1	1
12G89	0	0	1	2
1DE6789	0	0	1	0
CBAHG	0	1	1	2
12CF9	0	0	1	0
A4GFE89	0	0	1	0
1DE87	0	0	3	0
A45	0	0	2	0
A89	0	0	4	1
16IHG	0	0	2	0
EDCBA6789	0	0	2	0
1B789	0	0	1	0
34569	0	0	1	2
16789	0	0	3	1
3F145HI	0	0	1	0
IH1	0	0	1	0
123FE	0	0	3	0
CBA4789	0	0	1	0
12IHGFC	0	0	3	0
123HGF9	0	0	1	0
E	0	0	2	0
GF1HED9	0	0	1	0
1B349	0	0	3	2
1256789	0	0	1	1
3HED9	0	0	3	0
1234I	0	0	1	0
12EDC67	0	0	1	0
5DCB9	0	0	2	0
1HE	0	0	1	0
14789	0	0	1	0
GFE	0	0	1	0
IHGBA	0	0	1	0
123FE4G	0	0	1	0
123HG	0	0	2	0
IFE	0	0	3	0
3BA49	0	0	6	0
1234789	0	0	2	0
34AB5F9	0	0	2	0
12589	0	0	2	0
9DE	0	0	1	0
1236G	0	0	1	0
1HGF5D9	0	0	1	0
1DCB56789	0	0	1	0
1B9	0	0	1	0
