CMP	HSC	MPP
1	132	30	93
9	95	39	59
123F9	1	1	1
1D9	12	1	5
129	42	11	19
189	40	8	29
149	22	8	17
16789	0	4	6
12389	16	5	6
169	0	7	0
12349	23	5	6
123	36	8	27
C	41	5	15
G	21	3	21
A	18	12	7
12GFEDC89	0	2	0
3456789	0	2	4
1DCB789	0	2	0
12589	0	1	0
14569	0	1	1
789	24	8	14
GF9	0	6	13
349	0	10	8
12369	0	7	0
127	4	1	2
1234589	0	3	0
7	10	9	7
12367	0	2	4
12789	0	9	5
18I	0	1	0
1236789	0	4	0
C4789	0	2	0
CBA	0	1	5
12C89	0	1	0
12345	2	1	4
167	0	2	1
145	0	2	3
1HGB9	0	3	0
389	0	5	2
CBA69	0	4	1
1D5	0	1	7
1234789	0	1	1
ED9	0	4	0
12IFC	0	3	0
1FEB78C	0	1	0
36789	0	1	8
123D9	0	1	7
123456789	6	2	4
345	2	1	2
GFIHCBA	0	1	0
12IHGDC	0	1	0
589	1	1	2
3FE21	0	1	2
567BA4I	0	1	0
56789	0	3	1
1456789	0	1	0
GF5	0	1	2
12947	0	2	0
I	0	2	1
IDC	0	2	1
1DI	0	1	1
123H9	0	1	1
CB9	0	1	1
34589	0	1	0
1DCB9	0	1	1
783	0	1	0
34789	0	1	0
IH127	0	4	1
14589	0	1	2
3	0	3	3
7DCBA	0	1	0
C89	0	2	0
1234569	0	2	1
1B9	0	1	0
5	0	1	0
12347	0	2	0
3D7	0	1	0
AD3	0	1	0
123HG	0	2	0
12GD3	0	1	0
345HGF9	0	1	0
IHG	0	1	0
EDA6789	0	1	0
12GFE	0	1	0
