undiff	Monocyte	Neutrophil	Baso	Erythroid	Meg	Mast	Lymphoid	Eos	Neu_Mon	Ccr7_DC	pDC
573	15	0	0	0	0	0	0	0	0	0	0	0
1440	34	0	0	0	0	0	0	0	0	0	0	0
394	12	35	1	0	0	0	0	0	0	0	0	0
1972	15	0	0	4	0	0	2	0	0	0	0	0
1450	7	8	7	0	0	0	0	0	0	0	0	0
5624	3	9	1	0	0	0	0	0	0	0	0	0
1652	7	0	7	0	0	0	0	0	0	0	0	0
1110	40	0	2	0	0	0	0	0	0	0	0	0
3529	29	18	24	1	0	0	1	0	0	0	0	0
5725	34	2	31	0	0	0	0	0	1	0	0	0
2553	2	0	0	8	0	3	0	0	0	0	0	0
3438	52	40	1	0	0	0	0	0	0	0	0	0
1041	14	5	13	1	0	0	0	0	0	0	0	0
1700	5	7	5	0	0	0	0	0	0	0	0	0
3887	17	28	9	0	0	0	0	0	0	0	0	0
2013	0	0	5	0	0	0	0	0	0	0	0	0
3339	2	6	31	0	0	0	0	0	0	0	0	0
801	31	48	10	0	0	0	0	0	0	0	0	0
3364	8	0	0	0	8	5	0	0	0	0	0	0
4678	25	0	4	1	0	0	0	0	0	0	0	0
4287	32	16	0	0	0	0	0	1	0	0	0	0
2263	4	0	0	0	0	2	0	0	0	0	0	0
1592	41	29	6	0	0	0	0	0	0	0	0	0
3470	16	0	0	0	0	0	0	0	0	0	0	0
417	15	13	28	0	0	0	0	0	0	0	0	0
704	11	9	12	0	0	0	0	0	0	1	0	0
3661	0	6	8	0	0	0	0	0	0	0	0	0
633	34	5	12	0	0	0	0	0	0	0	0	0
3330	15	10	18	0	0	0	0	0	0	0	0	0
3945	8	0	0	0	0	0	0	0	0	0	0	0
2568	11	3	0	0	0	0	0	0	0	0	0	0
4216	12	11	7	0	0	0	0	0	0	0	0	0
2246	2	0	2	0	0	0	0	0	0	0	0	0
3628	51	0	0	0	0	0	0	0	0	0	0	0
2776	7	0	0	0	3	3	1	0	0	0	0	0
2397	0	0	0	0	0	0	13	0	0	0	0	0
